source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4281199284413726208,284.0551537594634,4.203745304112682,24.26956722899592,46.47401780130661,31.31273094049868,1.1544147,4.5688887,0.25649357,-43.35651,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
1999333119114597632,356.76490909594787,58.652243604255666,18.77892356936264,60.37888069777183,56.82804305591979,0.811061,4.5690794,1.2516651,-20.707542,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,4599.026,2.4755,-0.2056,53.7416,2.0E-4,1.0E-4,1.0E-4
3424609014036545920,91.03001710979328,23.262940420430322,,,,,4.5698366,1.0277126,,"NOT_AVAILABLE",0,true,true,false,false,false,false,false,,,,,,,
1843569258170830848,311.21861475409605,25.269805271037367,8.625541158872387,-38.328265239066965,-185.53486066197385,3.1576862,4.569888,1.3314006,25.05824,"NOT_AVAILABLE",1,true,true,false,false,false,true,true,4735.181,2.2995,0.0193,110.4639,0.3156,0.2445,0.1275
1953794542947272192,323.69475287203414,38.53450900047495,14.009379836295976,112.80809202379322,99.49865782433588,1.3949016,4.5702386,1.2300582,-63.941864,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
1974207319925666944,325.5348020238103,45.76560685251694,4.1486371108986475,-0.7922876963212149,-20.426515616856307,1.7056556,4.5705543,3.1350691,,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
4463697873660957568,246.3541550195987,14.03300257246024,13.103440100615007,38.68235475460252,-59.55075408586135,2.0330298,4.5735435,0.048770905,-7.037439,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
398030875774246656,20.585284640689324,45.52881684065896,14.604211957795451,31.681329778253584,9.023584394676426,1.0014993,4.57383,1.2145715,-12.8256855,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,4665.719,2.443,-0.1749,67.6968,4.0E-4,3.0E-4,1.0E-4
495235297172196864,57.58987820724574,71.3320796371637,8.4446244385362,18.434879932864384,-41.95566154923508,0.9351421,4.575176,0.12365246,-2.8428965,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3228743421412376704,76.34886739642991,1.1776099338614843,2.0397879427330197,8.533064219846377,-3.6798215174242026,1.4070646,4.5757837,2.9724503,,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
3428176379509415552,87.2539810627655,24.56739978992664,6.352816909370305,-13.211304430428493,-13.716266453912588,10.328868,4.5764666,1.1764433,19.199146,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
1172801946147903744,220.41141722058745,8.161778737623301,6.602374376755339,-10.264572221089017,3.187313380315292,0.79204035,4.5790625,1.1535411,-22.442245,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3393870689010191744,77.92320767970409,16.045707753738206,8.261306491576097,5.194576702506826,7.375630306450441,0.96212506,4.57964,1.7547922,-7.48622,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
3885781539757620736,158.04886484593,14.137379794462465,3.606995810443317,-41.71154608056818,24.773836850398816,0.95849174,4.580366,2.1454892,34.27618,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
614700980739015296,145.9329524980636,14.021694130394637,5.304785382216835,1.6137828377340155,-2.0143769038644,0.94662386,4.580817,2.0587363,10.976603,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
270632490692926720,64.56121354485205,50.29525307791064,8.546713574512976,41.798451316427546,-53.99737429681255,2.7436318,4.582041,0.12556744,8.776857,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
3409207536188836352,75.77426596731988,21.58977916305356,18.385106095758662,67.39141151611325,-40.95750272001636,1.1146524,4.583001,0.22456741,41.64078,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,7898.7993,3.694,-0.4727,57.5501,0.0024,0.0022,0.0012
2254697512160997376,290.16720542436457,65.71471442872932,14.263714953377113,14.587346671263926,41.075873524489175,1.9719522,4.584147,0.077403545,-29.15858,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
